13.11.2019 17:17:510    2000 ms	Event	BKN230-24-MOD-BAC	v 21.2.0.9
13.11.2019 17:17:51	2007 ms	Info	Input	Input CLOSED changed to 1
13.11.2019 17:17:51	2014 ms	Info	Input	Input ADDR0 changed to 1
13.11.2019 17:17:51	2021 ms	Info	Input	Input BAUD1 changed to 1
13.11.2019 17:17:52	2096 ms	Info	DeviceConfiguration	------------- DeviceConfig -------------
13.11.2019 17:17:52	2106 ms	Info	DeviceConfiguration	config_state: AA
13.11.2019 17:17:52	2113 ms	Info	DeviceConfiguration	device_config_revision: 5
13.11.2019 17:17:52	2121 ms	Info	DeviceConfiguration	mem_errors: 0
13.11.2019 17:17:52	2128 ms	Info	DeviceConfiguration	bus_timeout_enabled: 1
13.11.2019 17:17:52	2136 ms	Info	DeviceConfiguration	bus_timeout: 300
13.11.2019 17:17:52	2144 ms	Info	DeviceConfiguration	sn 1: 0
13.11.2019 17:17:52	2150 ms	Info	DeviceConfiguration	sn 2: 0
13.11.2019 17:17:52	2157 ms	Info	DeviceConfiguration	sn 3: 0
13.11.2019 17:17:52	2164 ms	Info	DeviceConfiguration	bacnet_max_master: 127
13.11.2019 17:17:52	2172 ms	Info	DeviceConfiguration	bacnet_device_id_offset: 1000
13.11.2019 17:17:52	2180 ms	Info	DeviceConfiguration	bacnet_database_revision: 0
13.11.2019 17:17:52	2189 ms	Info	DeviceConfiguration	bacnet_device_name: 
13.11.2019 17:17:52	2196 ms	Info	DeviceConfiguration	bacnet_location: 
13.11.2019 17:17:52	2204 ms	Info	DeviceConfiguration	bacnet_description: 
13.11.2019 17:17:52	2212 ms	Info	DeviceConfiguration	bacnet_apdu_timeout: 3000
13.11.2019 17:17:52	2220 ms	Info	DeviceConfiguration	bacnet_apdu_retries: 3
13.11.2019 17:17:52	2228 ms	Info	DeviceConfiguration	bacnet_max_info_frames: 1
13.11.2019 17:17:52	2236 ms	Event	Modbus App	initializing modbus with address: 2, baud: 38400, parity: n, stop bits: 2
13.11.2019 17:18:06	16757 ms	Info	Input	Input BUTTON changed to 1
13.11.2019 17:18:06	16825 ms	Info	Input	Input BUTTON changed to 0
13.11.2019 17:18:07	17669 ms	Info	Input	Input BUTTON changed to 1
13.11.2019 17:18:07	17753 ms	Event	controller	state change from 'idle' to 'test (self)'
13.11.2019 17:18:07	17762 ms	Event	controller	Output changed to 1
13.11.2019 17:18:08	18817 ms	Info	Input	Input BUTTON changed to 0
13.11.2019 17:18:08	18854 ms	Event	controller	state change from 'test (self)' to 'idle'
13.11.2019 17:18:08	18863 ms	Event	controller	Output changed to 0
13.11.2019 17:18:09	19467 ms	Info	Input	Input BUTTON changed to 1
13.11.2019 17:18:09	19554 ms	Event	controller	state change from 'idle' to 'test (self)'
13.11.2019 17:18:09	19563 ms	Event	controller	Output changed to 1
13.11.2019 17:18:11	21781 ms	Info	Input	Input BUTTON changed to 0
