05.12.2019 14:12:320	2016 ms	Event	BKN230-24-MOD-BAC	v 22.2.0.20
05.12.2019 14:12:32	2019 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 14:12:32	2022 ms	Info	Input	Input ADDR0 changed to 1
05.12.2019 14:12:32	2025 ms	Info	Input	Input BAUD1 changed to 1
05.12.2019 14:12:32	2108 ms	Info	DeviceConfiguration	------------- DeviceConfig -------------
05.12.2019 14:12:32	2112 ms	Info	DeviceConfiguration	config_state: AA
05.12.2019 14:12:32	2116 ms	Info	DeviceConfiguration	device_config_revision: 5
05.12.2019 14:12:33	2119 ms	Info	DeviceConfiguration	mem_errors: 0
05.12.2019 14:12:33	2122 ms	Info	DeviceConfiguration	bus_timeout_enabled: 1
05.12.2019 14:12:33	2125 ms	Info	DeviceConfiguration	bus_timeout: 300
05.12.2019 14:12:33	2128 ms	Info	DeviceConfiguration	sn 1: 1946
05.12.2019 14:12:33	2131 ms	Info	DeviceConfiguration	sn 2: 30811
05.12.2019 14:12:33	2134 ms	Info	DeviceConfiguration	sn 3: 255
05.12.2019 14:12:33	2137 ms	Info	DeviceConfiguration	bacnet_max_master: 127
05.12.2019 14:12:33	2140 ms	Info	DeviceConfiguration	bacnet_device_id_offset: 1000
05.12.2019 14:12:33	2144 ms	Info	DeviceConfiguration	bacnet_database_revision: 0
05.12.2019 14:12:33	2148 ms	Info	DeviceConfiguration	bacnet_device_name: 
05.12.2019 14:12:33	2151 ms	Info	DeviceConfiguration	bacnet_location: 
05.12.2019 14:12:33	2154 ms	Info	DeviceConfiguration	bacnet_description: 
05.12.2019 14:12:33	2157 ms	Info	DeviceConfiguration	bacnet_apdu_timeout: 3000
05.12.2019 14:12:33	2161 ms	Info	DeviceConfiguration	bacnet_apdu_retries: 3
05.12.2019 14:12:33	2164 ms	Info	DeviceConfiguration	bacnet_max_info_frames: 1
05.12.2019 14:12:33	2168 ms	Event	Modbus App	initializing modbus with address: 1, baud: 38400, parity: n, stop bits: 2
05.12.2019 14:13:26	55844 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 14:13:26	55911 ms	Event	controller	Output changed to 1
05.12.2019 14:13:33	63139 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 14:14:17	107157 ms	Info	Input	Input OPEN changed to 1
05.12.2019 14:16:45	256240 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 14:16:45	256317 ms	Event	controller	Output changed to 0
05.12.2019 14:16:47	258908 ms	Info	Input	Input OPEN changed to 0
05.12.2019 14:17:00	272126 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 14:19:53	445837 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 14:19:53	445903 ms	Event	controller	Output changed to 1
05.12.2019 14:20:00	453185 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 14:20:44	497212 ms	Info	Input	Input OPEN changed to 1
05.12.2019 14:23:00	634286 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 14:23:00	634303 ms	Event	controller	Output changed to 0
05.12.2019 14:23:02	636889 ms	Info	Input	Input OPEN changed to 0
05.12.2019 14:23:15	650061 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 14:26:07	822774 ms	Event	Modbus App	Forced Control changed to 1
05.12.2019 14:26:07	822788 ms	Event	controller	Output changed to 1
05.12.2019 14:26:14	830040 ms	Info	Input	Input CLOSED changed to 0
05.12.2019 14:26:57	874067 ms	Info	Input	Input OPEN changed to 1
05.12.2019 14:29:14	1011338 ms	Event	Modbus App	Forced Control changed to 2
05.12.2019 14:29:14	1011387 ms	Event	controller	Output changed to 0
05.12.2019 14:29:16	1013960 ms	Info	Input	Input OPEN changed to 0
05.12.2019 14:29:29	1027116 ms	Info	Input	Input CLOSED changed to 1
05.12.2019 14:32:21	1199860 ms	Event	Modbus App	Forced Control changed to 1
